0	1	2	3	4
402.0	13.2498	12.908	11.0	112.9
610.0	13.5027	12.8603	10.0	121.1
2145.0	13.4312	13.0095	9.4	119.6
1750.0	13.62	13.266	21.1	116.7
783.0	13.3775	13.309	15.8	145.4
1601.0	13.0033	13.0813	25.9	100.4
1512.0	13.1819	12.9352	21.3	131.4
