Index	First Frame	Number Frames	Frames Missing	Position X [nm]	Position Y [nm]	Precision [nm]	Number Photons	Background variance	Chi square	PSF half width [nm]	Channel	Z Slice
757	772	1	0	22570.0	23111.8	13.0	5595	397.02	1.06	163.9	1	1
758	772	1	0	16864.1	16039.5	10.2	3967	365.79	1.18	122.0	1	1
759	773	1	0	8091.6	3512.0	9.9	2230	179.27	0.97	105.6	1	1
760	774	1	0	18040.9	8987.6	18.9	1744	284.91	0.99	120.1	1	1
761	774	1	0	5180.8	18382.8	11.1	3492	187.95	0.87	139.0	1	1
762	774	1	0	6740.8	16845.0	12.6	2425	241.11	0.86	118.8	1	1
763	776	1	0	6124.2	13348.2	12.2	3323	162.40	0.93	144.2	1	1
764	776	1	0	12758.3	9025.6	10.4	2715	185.38	0.88	118.4	1	1
765	777	1	0	22757.9	22657.6	20.7	2707	201.22	1.33	159.4	1	1
766	777	1	0	10324.1	12447.2	12.8	3406	347.77	1.19	129.1	1	1
767	779	1	0	16964.3	25827.3	10.1	3451	152.37	0.97	132.6	1	1
768	781	1	0	6995.5	16174.2	19.5	1976	382.89	1.31	120.5	1	1
769	782	1	0	25185.4	16734.4	17.7	3239	295.98	0.94	156.2	1	1
770	783	1	0	12491.4	15699.5	19.6	2396	438.71	1.10	130.3	1	1
771	783	1	0	13377.5	13309.0	15.8	2951	255.24	0.84	145.4	1	1
772	783	1	0	20337.9	29032.0	16.8	3633	410.43	0.87	152.1	1	1
773	783	1	0	8974.7	22444.9	10.7	3381	279.68	1.00	123.7	1	1
774	784	1	0	22838.8	22642.1	21.8	1932	285.36	1.10	133.7	1	1
775	784	1	0	16376.7	22249.9	9.9	4893	281.74	1.10	139.5	1	1
776	785	1	0	16446.3	22316.7	17.6	1813	191.34	0.77	127.2	1	1
777	786	1	0	6911.6	31673.8	10.1	2913	184.26	0.92	120.7	1	1
778	787	1	0	14582.2	12042.7	21.1	2510	217.31	1.11	155.9	1	1
779	788	1	0	9312.7	26905.3	9.9	3458	147.64	0.89	134.4	1	1
780	788	1	0	14381.2	7060.8	17.1	1010	118.14	1.17	97.2	1	1
781	789	1	0	15555.6	27086.4	10.3	2906	194.70	0.72	121.6	1	1
782	793	1	0	12378.7	13917.3	17.0	2373	262.15	1.09	132.4	1	1
783	793	1	0	10769.3	22563.9	16.1	1854	283.54	0.82	114.7	1	1
784	794	1	0	25440.3	16461.4	11.8	3016	182.85	1.03	130.9	1	1
785	794	1	0	20332.1	28874.3	12.7	1960	271.10	0.85	104.8	1	1
786	795	1	0	20323.2	3898.1	14.9	1863	160.15	0.93	121.8	1	1
787	797	1	0	20313.6	16280.4	13.7	3547	265.63	0.90	146.0	1	1
788	797	1	0	10982.2	22330.4	12.7	2808	163.89	0.95	134.4	1	1
789	797	1	0	12541.6	15956.0	11.1	3182	268.87	0.95	123.3	1	1
790	798	1	0	14245.8	27478.2	15.9	2157	259.59	0.87	124.3	1	1
791	798	1	0	16793.9	8000.0	7.6	4636	208.29	0.86	127.8	1	1
792	801	1	0	11734.9	14623.8	12.5	2528	212.30	0.74	123.6	1	1
793	801	1	0	14141.0	7366.1	11.4	4248	300.73	0.94	142.6	1	1
794	801	1	0	11692.8	3435.9	8.8	2934	111.92	0.95	121.6	1	1
795	801	1	0	18160.4	28197.3	12.7	3538	189.51	1.12	145.1	1	1
796	801	1	0	17614.1	8832.8	8.8	4135	284.07	0.92	123.8	1	1
797	802	1	0	11830.9	9228.1	21.6	1547	197.75	1.17	127.5	1	1
798	802	1	0	17993.9	28241.4	13.1	3308	231.78	0.95	140.7	1	1
799	802	1	0	17310.0	24979.8	11.7	2823	303.20	1.12	115.5	1	1
800	803	1	0	19932.4	26436.1	11.1	3341	248.00	0.81	129.5	1	1
801	804	1	0	10963.8	2975.7	15.1	1962	174.17	0.87	125.7	1	1
802	804	1	0	11799.6	14653.0	17.9	2909	381.67	1.10	140.6	1	1
803	805	1	0	20259.0	26776.1	9.0	3107	133.52	0.92	120.6	1	1
804	806	1	0	26799.5	17682.7	26.8	1331	333.90	1.14	120.6	1	1
805	807	1	0	1926.8	31294.4	9.5	3624	116.60	0.72	143.5	1	1
806	808	1	0	11679.7	3457.7	13.7	2138	128.10	0.64	134.6	1	1
807	808	1	0	2252.8	31186.5	9.1	4464	140.70	0.90	148.3	1	1
808	810	1	0	29923.6	16649.6	12.1	3243	257.73	1.03	131.0	1	1
809	810	1	0	2481.6	30789.8	7.7	5206	155.95	0.88	143.7	1	1
810	811	1	0	1420.7	20719.9	15.3	2224	228.75	0.77	128.7	1	1
811	811	1	0	2522.5	30718.1	18.7	3549	754.79	1.19	138.7	1	1
812	811	1	0	4886.8	22689.2	11.6	3195	199.25	1.10	131.1	1	1
813	812	1	0	2668.2	30123.1	9.1	5843	257.37	0.96	152.8	1	1
814	813	1	0	20075.7	27199.7	15.3	2222	268.76	1.16	120.3	1	1
815	813	1	0	2542.6	30444.8	10.7	3767	324.30	1.12	126.7	1	1
816	814	1	0	2490.1	30363.7	10.3	3162	132.35	0.98	133.5	1	1
817	816	1	0	27026.3	13146.6	13.9	3070	239.22	1.18	136.4	1	1
818	817	1	0	10734.1	14758.5	14.4	3526	289.05	0.86	147.5	1	1
819	818	1	0	14044.6	25794.8	18.6	2092	283.69	0.88	130.4	1	1
820	818	1	0	13461.6	9113.2	14.8	5580	397.12	1.16	175.1	1	1
821	819	1	0	2225.8	16703.6	10.2	3145	81.56	0.80	143.7	1	1
822	819	1	0	22573.8	23014.9	11.3	2778	211.61	1.04	119.6	1	1
823	821	1	0	11749.9	13360.2	15.4	1984	238.18	0.86	118.8	1	1
824	822	1	0	10866.9	22665.3	15.0	1668	183.42	1.04	110.5	1	1
825	822	1	0	21375.6	8572.0	11.5	3668	321.16	0.99	130.9	1	1
826	823	1	0	7048.2	31680.6	17.0	1895	262.71	0.92	120.7	1	1
827	823	1	0	13915.8	14038.3	13.5	3154	280.25	0.91	135.4	1	1
828	823	1	0	21955.1	4530.4	12.1	1585	159.31	0.83	101.5	1	1
829	823	1	0	11428.2	10776.9	12.9	5910	455.80	1.44	160.6	1	1
830	824	1	0	21966.1	4505.0	11.4	2245	148.64	0.91	117.5	1	1
831	825	1	0	9301.3	4113.7	9.0	4277	185.97	0.63	141.8	1	1
832	826	1	0	9100.1	4089.3	11.2	4815	225.96	1.04	158.3	1	1
833	827	1	0	25315.0	16444.0	14.1	3451	294.61	1.15	141.1	1	1
834	828	1	0	9212.6	4185.9	9.1	5809	388.19	1.03	141.3	1	1
835	829	1	0	1381.7	18209.8	13.7	2504	163.30	0.89	135.3	1	1
836	830	1	0	4193.2	21618.5	9.3	3729	234.61	0.71	127.6	1	1
837	832	1	0	13337.6	8875.8	13.6	3723	539.35	1.48	127.3	1	1
838	833	1	0	22653.5	23055.6	20.0	965	203.76	0.83	97.9	1	1
839	834	1	0	28675.7	14655.1	16.3	2298	354.30	0.96	121.8	1	1
840	834	1	0	13687.3	5240.9	14.6	2281	199.42	0.91	129.6	1	1
841	837	1	0	1767.2	26835.0	15.9	2380	224.39	0.95	135.1	1	1
842	839	1	0	3690.6	16843.9	12.5	5674	697.92	0.85	146.4	1	1
843	840	1	0	9472.9	20905.3	11.7	4241	285.89	0.88	144.9	1	1
844	842	1	0	25390.9	16817.5	9.5	5896	275.53	1.05	152.2	1	1
845	844	1	0	9629.2	30166.1	11.5	2516	240.16	0.77	116.2	1	1
846	845	1	0	27042.6	11975.8	16.5	2903	284.80	0.97	143.5	1	1
847	845	1	0	14028.8	6924.7	11.1	3062	325.51	1.14	116.2	1	1
848	846	1	0	12248.6	20966.3	13.8	2121	156.92	0.96	123.0	1	1
849	846	1	0	23616.5	7167.8	9.6	2824	226.70	0.93	112.1	1	1
850	847	1	0	5056.7	31120.3	19.1	2822	328.19	0.92	149.9	1	1
851	847	1	0	25363.4	16633.8	18.5	5241	439.35	1.13	185.8	1	1
852	848	1	0	5820.9	29777.1	12.5	2187	116.26	0.99	124.7	1	1
853	848	1	0	5049.1	31140.7	17.1	2618	243.19	0.97	143.2	1	1
854	848	1	0	22732.4	22936.5	11.8	3285	261.34	1.19	127.8	1	1
855	849	1	0	23016.3	22637.3	14.9	1782	244.11	0.96	109.0	1	1
856	849	1	0	16827.0	29448.9	8.1	3736	149.33	0.77	125.7	1	1
857	850	1	0	24962.7	19685.7	10.6	3999	478.28	1.07	120.6	1	1
858	851	1	0	20305.3	11915.0	11.8	3619	301.32	1.19	131.2	1	1
859	851	1	0	21007.1	15945.1	11.7	2573	206.72	1.10	116.9	1	1
860	852	1	0	24280.0	6971.6	24.3	2823	219.65	1.16	179.1	1	1
861	853	1	0	26162.9	12706.6	24.0	1567	403.72	1.02	119.9	1	1
862	855	1	0	7595.6	14956.1	15.7	1923	254.35	1.04	115.5	1	1
863	856	1	0	5923.3	24024.4	14.0	2719	237.52	1.06	131.2	1	1
864	856	1	0	14681.9	29467.8	13.9	1938	151.74	0.85	120.3	1	1
865	857	1	0	17875.8	13016.4	25.5	1093	418.11	1.14	101.8	1	1
866	857	1	0	7645.9	24892.2	13.2	3171	230.56	1.11	136.7	1	1
867	857	1	0	5752.2	8906.5	16.7	2309	300.13	0.87	129.4	1	1
868	858	1	0	5752.9	8831.2	11.2	2569	259.99	1.12	111.6	1	1
869	859	1	0	12278.6	8417.4	24.7	2249	379.99	0.96	148.4	1	1
870	860	1	0	9842.6	6774.0	13.1	2938	191.78	0.89	139.1	1	1
871	862	1	0	12501.8	12904.9	15.8	1409	219.47	0.81	103.3	1	1
872	863	1	0	13440.0	9213.6	15.4	3609	291.47	0.87	155.1	1	1
873	863	1	0	14076.7	14657.5	10.8	3288	295.58	0.82	122.5	1	1
874	864	1	0	10856.2	8757.4	11.0	3348	251.01	0.96	128.5	1	1
875	866	1	0	22678.5	21233.4	16.5	2206	260.41	1.07	125.9	1	1
876	867	1	0	7626.2	25883.9	10.6	2948	181.48	0.79	125.5	1	1
877	867	1	0	632.0	28252.2	7.4	3995	82.46	0.81	135.6	1	1
878	868	1	0	10643.2	13623.6	12.1	3233	371.25	0.93	123.1	1	1
879	870	1	0	13845.4	14132.0	10.0	4681	486.02	1.02	125.9	1	1
880	871	1	0	13415.1	9356.2	15.2	3090	175.80	0.88	155.4	1	1
881	871	1	0	6935.3	16416.8	18.5	3003	400.27	1.23	144.1	1	1
882	873	1	0	25854.4	8166.5	17.2	1870	333.79	1.06	114.0	1	1
883	876	1	0	9019.6	22052.4	16.8	2023	203.76	0.71	131.4	1	1
884	880	1	0	10223.0	9264.6	9.5	2716	134.10	0.75	120.1	1	1
885	881	1	0	22224.5	4746.5	13.6	2161	119.36	1.01	129.3	1	1
886	881	1	0	1642.3	23832.3	14.3	1807	133.27	0.90	121.0	1	1
887	881	1	0	11104.2	14532.6	13.1	2821	173.56	0.99	135.1	1	1
888	882	1	0	10631.2	13640.3	8.5	3690	283.47	1.20	111.7	1	1
889	883	1	0	11079.2	14550.7	21.6	2164	410.28	1.11	132.1	1	1
890	883	1	0	22127.8	4707.8	14.2	2235	252.43	1.32	117.2	1	1
891	884	1	0	25528.3	16818.0	12.8	2231	166.32	1.06	119.4	1	1
892	885	1	0	14270.1	8602.4	14.3	4638	251.25	0.99	171.6	1	1
893	885	1	0	14407.7	5075.6	11.8	2285	141.90	0.95	121.0	1	1
894	886	1	0	8725.0	23566.7	12.0	2516	166.89	0.70	127.2	1	1
895	886	1	0	4873.3	16313.7	12.2	5007	285.30	1.72	153.7	1	1
896	886	1	0	6920.8	19658.4	11.8	3802	327.38	1.09	133.5	1	1
897	887	1	0	11122.4	14534.4	18.5	1406	207.76	1.01	111.2	1	1
898	888	1	0	13639.4	13397.0	18.2	1625	199.29	0.94	120.2	1	1
899	889	1	0	12550.4	13675.2	17.4	1596	316.20	1.24	105.2	1	1
900	890	1	0	25487.8	16789.7	21.6	1992	253.74	1.14	138.0	1	1
901	890	1	0	13364.3	13829.8	16.9	1769	225.29	1.07	116.4	1	1
902	890	1	0	20281.9	22750.6	9.6	3583	185.57	0.87	128.8	1	1
903	891	1	0	20282.0	29092.3	17.4	2383	332.27	1.31	127.4	1	1
904	891	1	0	25259.2	16754.6	18.3	4566	652.52	1.24	158.8	1	1
905	891	1	0	5317.8	18178.9	12.2	4757	384.80	1.22	146.5	1	1
906	893	1	0	4241.5	31185.1	10.7	3932	222.06	0.84	141.8	1	1
907	894	1	0	1223.9	31689.1	17.4	1749	193.63	0.97	124.8	1	1
908	894	1	0	4380.8	31022.6	13.2	3089	237.58	0.99	136.7	1	1
909	894	1	0	3735.6	22899.5	14.2	4007	367.58	1.06	147.6	1	1
910	895	1	0	5500.2	18893.4	16.9	1750	189.58	0.79	123.4	1	1
911	895	1	0	3621.5	22634.8	13.8	2651	190.48	0.84	135.9	1	1
912	895	1	0	12616.0	13685.2	11.3	5632	197.16	1.47	164.2	1	1
913	895	1	0	8230.7	24245.4	10.5	3845	320.68	1.00	127.5	1	1
914	896	1	0	19187.6	21491.8	16.1	1555	193.91	0.88	111.3	1	1
915	896	1	0	1156.3	23655.8	14.5	4465	345.17	1.65	155.9	1	1
916	898	1	0	12828.9	14164.1	17.1	2283	225.90	0.86	135.7	1	1
917	898	1	0	11337.0	15327.4	15.1	1734	196.32	0.97	111.9	1	1
918	898	1	0	10032.6	18345.1	17.6	1450	231.54	0.79	110.3	1	1
919	899	1	0	25462.6	16566.5	13.9	4640	272.16	0.90	167.3	1	1
920	899	1	0	11402.4	8459.4	13.4	2245	224.89	1.04	117.9	1	1
921	899	1	0	22077.1	25835.0	16.3	1860	208.79	1.10	118.5	1	1
922	900	1	0	17078.3	5112.9	8.6	4801	214.98	0.95	138.2	1	1
923	901	1	0	11317.2	13414.5	17.5	2359	241.53	1.15	134.6	1	1
924	901	1	0	30906.7	16547.4	10.3	5762	517.45	1.21	140.1	1	1
925	903	1	0	16734.3	4314.3	16.2	2613	321.80	1.15	131.8	1	1
926	904	1	0	13525.0	12328.8	24.0	2499	366.08	0.88	155.0	1	1
927	904	1	0	6170.3	14535.2	16.1	1547	234.41	1.04	107.3	1	1
928	905	1	0	2652.7	17553.3	9.9	3355	162.74	1.02	129.6	1	1
929	905	1	0	10055.8	18328.4	9.4	2980	219.93	1.02	112.1	1	1
930	906	1	0	13495.1	12394.1	14.3	2715	207.36	0.88	136.6	1	1
931	907	1	0	21695.2	22248.4	34.9	1630	531.84	1.28	138.1	1	1
932	910	1	0	4127.9	3534.7	12.0	1938	133.30	0.72	118.0	1	1
933	910	1	0	15633.2	15790.0	12.6	3290	269.30	0.99	133.8	1	1
934	912	1	0	15300.6	9169.4	14.2	5026	234.34	1.10	178.0	1	1
935	913	1	0	2966.4	31560.8	17.8	2168	224.94	0.88	136.9	1	1
936	915	1	0	11765.1	13124.4	18.9	1479	225.47	0.94	114.4	1	1
937	915	1	0	15147.3	13807.4	10.1	3482	228.63	0.98	124.9	1	1
938	916	1	0	14143.5	13119.5	17.8	1538	290.65	0.84	109.3	1	1
939	918	1	0	13249.9	12980.1	17.4	745	145.47	0.93	83.2	1	1
940	919	1	0	13228.2	12986.6	14.3	2332	312.27	0.92	117.3	1	1
941	922	1	0	361.1	20781.3	11.0	5967	296.90	1.08	164.4	1	1
942	922	1	0	14614.6	3692.0	15.7	1621	191.13	0.96	113.6	1	1
943	923	1	0	8891.4	25447.6	17.1	2619	277.71	0.96	140.0	1	1
944	923	1	0	20140.5	23576.5	13.6	4157	385.61	1.22	144.0	1	1
945	924	1	0	20154.9	23605.9	13.5	3474	341.76	1.06	135.8	1	1
946	924	1	0	2469.9	17986.4	9.1	3985	266.51	1.00	124.7	1	1
947	925	1	0	25332.8	16477.3	13.6	4117	279.65	1.14	152.5	1	1
948	926	1	0	17494.5	25660.6	12.9	2653	188.16	0.91	129.3	1	1
949	927	1	0	30415.6	12213.6	9.7	3639	252.09	0.79	125.7	1	1
950	928	1	0	30434.9	12224.3	10.3	4719	349.39	1.03	137.0	1	1
951	929	1	0	18499.7	15376.1	15.1	2170	376.09	0.99	112.2	1	1
952	929	1	0	4788.4	24614.8	8.5	3956	328.18	1.02	114.9	1	1
953	930	1	0	7055.0	20516.3	15.3	1872	299.74	1.09	109.4	1	1
954	930	1	0	17880.1	25571.1	8.0	4660	257.96	0.87	126.4	1	1
955	932	1	0	9118.0	4685.7	13.1	3247	239.55	1.14	139.4	1	1
956	932	1	0	31454.9	9475.1	12.0	4954	250.75	1.00	162.4	1	1
957	935	1	0	13021.3	9197.2	13.2	1936	210.60	0.94	110.5	1	1
958	938	1	0	11317.1	14538.7	9.4	4878	377.28	0.99	130.9	1	1
959	939	1	0	22788.5	22966.5	26.6	2030	350.29	1.08	146.5	1	1
960	941	1	0	20252.4	2873.8	10.1	3646	192.38	1.02	133.6	1	1
961	941	1	0	18434.0	2904.7	9.5	3702	287.10	1.15	120.3	1	1
962	942	1	0	20525.4	2890.3	24.0	3508	677.47	1.73	158.3	1	1
963	942	1	0	859.3	20851.4	11.3	2632	170.70	0.90	123.9	1	1
964	943	1	0	20721.3	2849.5	14.7	2425	230.56	1.05	128.8	1	1
965	943	1	0	20803.4	29101.1	16.3	1720	239.02	1.12	112.0	1	1
966	943	1	0	805.6	21018.5	10.7	3364	192.25	0.92	133.5	1	1
967	944	1	0	31383.1	12574.6	8.3	3447	243.73	1.06	110.5	1	1
968	945	1	0	18404.9	2860.2	10.9	2512	164.16	1.04	118.0	1	1
969	948	1	0	11485.8	13984.1	18.4	1972	302.53	0.92	124.1	1	1
970	949	1	0	19634.1	25894.0	21.2	1311	240.05	1.18	111.1	1	1
971	949	1	0	23716.0	6893.8	13.6	1687	202.30	0.94	106.2	1	1
972	949	1	0	25011.8	15854.5	8.2	4740	242.19	0.93	130.4	1	1
973	950	1	0	14208.6	11919.7	14.2	2782	210.20	1.08	134.9	1	1
974	950	1	0	12224.1	13877.2	7.3	5778	298.99	0.95	129.8	1	1
975	951	1	0	22762.9	22955.8	14.6	3292	299.55	0.86	142.8	1	1
976	951	1	0	23644.4	9956.5	21.7	1208	289.73	1.20	105.2	1	1
977	952	1	0	31376.7	12615.8	23.5	1597	319.28	0.92	125.7	1	1
978	952	1	0	13473.7	9203.3	10.6	5286	325.89	0.85	150.9	1	1
979	952	1	0	19625.9	27872.7	10.5	2396	231.42	1.03	105.3	1	1
980	953	1	0	19627.8	27896.6	13.1	1971	199.71	0.89	111.7	1	1
981	954	1	0	16931.1	9921.9	15.5	2319	233.09	0.98	129.2	1	1
982	954	1	0	19890.6	25831.7	12.5	2159	196.85	0.83	114.8	1	1
983	954	1	0	6842.2	16849.2	14.2	2720	255.72	1.10	130.5	1	1
984	954	1	0	19644.6	27887.0	10.1	3384	275.35	1.18	117.6	1	1
985	955	1	0	6832.0	16867.4	14.9	2108	145.31	0.84	131.6	1	1
986	955	1	0	13441.8	7887.9	15.3	3688	195.71	0.90	167.8	1	1
987	955	1	0	12734.1	27705.0	11.4	2280	181.32	0.84	114.6	1	1
988	955	1	0	19644.8	27919.0	7.7	4314	135.11	0.87	131.3	1	1
989	955	1	0	18537.9	10999.5	9.5	3673	185.93	0.95	129.3	1	1
990	956	1	0	9027.1	25285.0	13.6	2145	180.56	0.84	122.3	1	1
991	956	1	0	6847.8	16811.7	13.9	3297	309.30	1.13	137.0	1	1
992	956	1	0	1971.6	7625.2	10.5	2411	107.69	0.95	121.8	1	1
993	957	1	0	8191.4	16524.9	14.9	1575	111.37	1.01	116.2	1	1
994	957	1	0	5211.2	26830.5	10.7	3500	134.82	0.76	145.7	1	1
995	957	1	0	17145.5	10670.2	12.4	2132	158.28	0.79	118.7	1	1
996	958	1	0	5243.7	26968.1	11.1	5241	361.75	1.18	148.9	1	1
997	959	1	0	5172.6	26853.0	10.8	4641	259.89	0.93	148.4	1	1
998	960	1	0	10718.3	9090.4	14.9	2441	161.17	1.01	138.0	1	1
999	960	1	0	5110.1	26739.0	12.4	4114	335.49	1.11	141.7	1	1
1000	960	1	0	4604.8	16997.6	9.0	4810	291.73	1.06	133.1	1	1
1001	960	1	0	16409.9	18327.7	8.2	5599	328.72	1.01	133.6	1	1
1002	960	1	0	17440.5	26218.4	9.0	3875	185.69	1.08	126.9	1	1
1003	961	1	0	16401.6	17970.6	20.3	4600	676.82	1.11	167.9	1	1
1004	961	1	0	4688.2	16869.1	11.8	2411	164.46	0.84	121.9	1	1
1005	961	1	0	10381.5	25270.4	11.8	3500	242.43	0.97	135.4	1	1
1006	961	1	0	5061.6	26831.0	8.9	4679	256.31	1.12	133.0	1	1
1007	963	1	0	20234.0	27254.4	11.7	3113	226.23	0.90	129.7	1	1
1008	964	1	0	10038.4	18358.3	12.0	2626	187.94	0.86	125.0	1	1
1009	964	1	0	14491.7	3586.2	12.0	3387	258.11	1.16	133.3	1	1
1010	965	1	0	9998.3	18233.1	18.0	2110	291.61	1.14	126.5	1	1
1011	965	1	0	17731.4	26105.5	20.0	1975	273.17	1.13	130.4	1	1
1012	969	1	0	2172.6	5160.7	14.0	1370	117.99	0.82	108.8	1	1
1013	969	1	0	11760.3	11746.9	21.4	2376	297.17	1.16	145.9	1	1
1014	969	1	0	1591.9	7172.0	9.5	3847	205.99	1.27	129.0	1	1
1015	970	1	0	2124.1	5199.3	11.7	2150	148.09	0.67	121.1	1	1
1016	970	1	0	20282.1	5162.6	14.5	4639	378.41	1.25	159.4	1	1
1017	971	1	0	2153.6	5212.7	11.3	1876	103.06	0.78	116.1	1	1
1018	971	1	0	22656.0	22528.8	14.8	3165	299.68	1.04	139.1	1	1
1019	971	1	0	11568.1	8580.5	12.5	3767	606.27	1.68	119.1	1	1
1020	972	1	0	10356.6	13199.2	13.9	4448	311.58	0.85	160.1	1	1
1021	972	1	0	11808.4	12751.1	10.7	3543	147.52	0.98	139.4	1	1
1022	972	1	0	10484.5	14054.6	10.5	5239	412.45	1.04	140.8	1	1
1023	973	1	0	2186.0	5139.6	11.7	2433	151.59	0.79	127.1	1	1
1024	974	1	0	10386.0	13196.7	14.4	4549	234.54	0.87	173.2	1	1
1025	974	1	0	2196.4	5114.9	10.7	1864	84.05	0.85	114.8	1	1
1026	975	1	0	11652.2	8734.2	13.6	2693	167.56	0.87	138.7	1	1
1027	975	1	0	24033.8	6584.8	12.1	2450	246.10	1.02	115.8	1	1
1028	976	1	0	14003.3	6754.4	15.0	2115	182.25	1.00	126.7	1	1
1029	976	1	0	20506.3	6044.1	19.5	1890	360.44	1.02	121.1	1	1
1030	976	1	0	14383.6	3570.7	16.4	1364	169.87	0.80	110.4	1	1
1031	976	1	0	2848.3	14870.5	15.6	2153	335.67	1.19	115.8	1	1
1032	976	1	0	6493.8	16911.4	12.6	3803	304.85	1.17	139.4	1	1
1033	977	1	0	13991.5	6790.7	15.4	2392	220.20	0.96	132.8	1	1
1034	977	1	0	2872.9	14872.1	15.5	945	138.91	0.85	91.0	1	1
1035	978	1	0	13975.5	6801.8	9.2	3131	129.79	0.71	128.5	1	1
1036	978	1	0	1656.6	26121.6	9.7	4224	212.03	1.21	135.3	1	1
1037	979	1	0	12242.0	8502.6	14.5	1908	152.08	0.89	122.6	1	1
1038	980	1	0	18901.5	3436.0	10.0	3809	229.44	0.96	132.2	1	1
1039	981	1	0	11576.0	8562.9	17.1	2417	221.10	1.20	138.2	1	1
1040	981	1	0	12750.1	10347.7	12.0	5700	370.47	0.92	162.3	1	1
1041	981	1	0	24317.9	5474.7	17.4	2836	363.48	1.16	139.3	1	1
1042	986	1	0	10929.8	13755.1	11.3	2907	212.08	0.94	124.2	1	1
1043	986	1	0	14264.2	7638.9	12.2	4095	469.27	1.30	131.4	1	1
1044	989	1	0	12871.9	8934.0	7.8	4215	165.50	0.91	127.3	1	1
1045	990	1	0	12131.3	14047.6	22.0	1838	326.43	1.00	128.8	1	1
1046	991	1	0	23006.9	19886.4	7.7	5585	146.93	0.93	146.1	1	1
1047	992	1	0	11209.4	12510.0	17.2	1270	189.15	0.87	104.7	1	1
1048	992	1	0	24115.1	5973.8	14.6	4018	426.29	1.24	145.7	1	1
1049	993	1	0	10770.7	10374.1	16.0	3126	220.79	1.13	151.8	1	1
1050	993	1	0	7322.6	3744.3	14.3	3329	237.37	0.89	150.7	1	1
1051	994	1	0	20449.3	11638.6	13.0	2616	229.87	1.16	122.9	1	1
1052	994	1	0	8303.4	15113.2	9.9	3400	222.81	0.74	126.6	1	1
1053	994	1	0	20427.7	28047.2	8.2	3790	207.16	0.96	118.6	1	1
1054	995	1	0	25355.8	16417.3	11.4	3089	222.54	0.90	127.8	1	1
1055	996	1	0	2903.6	21114.2	13.1	3139	240.62	1.04	136.5	1	1
1056	998	1	0	12670.0	13205.4	25.2	2450	414.66	1.10	151.1	1	1
1057	998	1	0	10043.5	30226.3	17.0	4685	611.11	1.09	158.3	1	1
1058	998	1	0	19074.5	24634.6	13.8	3018	317.83	1.03	129.6	1	1
1059	999	1	0	12321.7	26302.1	27.5	622	193.52	1.01	92.0	1	1
1060	999	1	0	18873.7	3764.2	15.2	1638	160.08	0.86	116.5	1	1
1061	999	1	0	9827.5	30183.0	16.6	2669	327.44	1.08	134.1	1	1
1062	1000	1	0	18913.3	3983.7	9.7	4064	161.92	1.20	139.0	1	1
1063	1002	1	0	18687.0	4358.1	9.5	2994	101.30	0.97	128.6	1	1
1064	1002	1	0	13975.1	10065.0	12.4	3059	272.55	1.01	127.7	1	1
1065	1003	1	0	18683.0	4338.2	13.7	2767	279.68	1.04	128.5	1	1
1066	1004	1	0	24788.3	11121.9	12.2	4127	307.56	1.00	143.6	1	1
1067	1004	1	0	9291.8	4106.6	16.1	4596	579.36	1.76	152.1	1	1
1068	1004	1	0	4605.4	22505.5	8.1	3496	151.71	0.87	120.8	1	1
1069	1004	1	0	14138.0	10524.0	10.7	4048	233.78	1.10	138.4	1	1
1070	1005	1	0	9315.2	4203.7	9.6	5789	361.03	1.09	146.1	1	1
1071	1006	1	0	12466.2	9851.3	10.9	4596	393.37	1.26	134.6	1	1
1072	1009	1	0	2580.8	22139.3	15.0	4081	443.49	1.08	148.8	1	1
1073	1009	1	0	4089.9	19488.6	11.7	3406	267.32	1.17	130.2	1	1
1074	1010	1	0	13866.3	14674.1	21.4	1666	158.37	0.84	138.7	1	1
1075	1011	1	0	22700.7	22948.2	10.2	4392	343.38	1.10	130.6	1	1
1076	1015	1	0	26995.5	18448.8	15.2	3316	279.43	0.89	148.1	1	1
1077	1017	1	0	13184.8	11733.1	15.1	2468	306.50	1.14	123.0	1	1
1078	1020	1	0	14216.9	5388.8	12.3	2669	204.52	0.90	126.7	1	1
1079	1020	1	0	17801.0	25782.2	7.7	3337	159.51	0.83	113.6	1	1
1080	1021	1	0	24945.0	12929.2	15.3	2199	224.20	1.06	124.2	1	1
1081	1021	1	0	10842.7	13911.9	22.5	1068	260.31	1.16	102.4	1	1
1082	1022	1	0	16679.9	27093.3	15.8	3750	384.80	1.09	149.6	1	1
1083	1023	1	0	11321.1	9253.7	18.7	1568	232.68	1.03	117.0	1	1
1084	1025	1	0	12406.5	9707.3	14.3	3064	224.66	1.07	142.2	1	1
1085	1025	1	0	8102.0	24197.0	8.7	4500	235.15	0.92	132.5	1	1
1086	1026	1	0	24089.8	11705.3	22.0	2937	289.40	1.14	165.2	1	1
1087	1026	1	0	7009.4	31638.0	18.4	1600	268.16	1.07	114.0	1	1
1088	1027	1	0	12362.8	8319.6	14.2	5939	453.71	0.89	174.3	1	1
1089	1028	1	0	24158.5	14146.4	12.3	5369	335.67	0.86	163.5	1	1
1090	1028	1	0	3916.9	21398.7	11.6	2938	191.74	1.18	126.2	1	1
1091	1030	1	0	22911.3	21685.5	18.9	2536	308.10	1.26	138.9	1	1
1092	1030	1	0	22572.8	22603.8	16.3	3371	268.09	1.01	154.4	1	1
