Frame	pos_x/um	pos_y/um	precision/nm	PSF/nm
80.0	11.7392	13.2987	13.7	126.5
81.0	4.3965	11.7491	14.6	113.9
81.0	24.2849	6.9074	13.1	119.9
82.0	26.659299999999998	14.1385	14.4	110.5
82.0	3.8879	7.3312	7.5	118.3
82.0	2.3601	2.7497	8.5	124.1
83.0	3.7419000000000002	7.3373	8.4	102.0
84.0	24.8558	20.956599999999998	18.9	144.2
84.0	30.5929	12.8939	15.6	130.9
84.0	3.6495	7.4982	10.6	122.2
85.0	15.813600000000001	9.141	11.8	143.1
86.0	20.9715	3.6293	12.3	118.5
86.0	0.7927000000000001	4.7061	7.5	116.8
88.0	0.49760000000000004	4.706300000000001	8.8	120.8
89.0	28.044	17.1598	10.3	147.4
90.0	28.0838	16.9758	16.4	129.2
90.0	1.5826	0.6698999999999999	8.1	107.6
91.0	14.5456	20.7084	19.4	111.5
92.0	2.5841999999999996	2.6016999999999997	9.8	125.0
94.0	12.9999	13.2229	39.8	147.3
94.0	25.159	21.7219	10.9	111.3
96.0	30.3266	12.694799999999999	22.6	138.6
96.0	0.38539999999999996	4.8137	9.5	106.8
97.0	12.9404	12.8557	7.1	114.0
98.0	28.336299999999998	27.4071	10.3	131.3
102.0	12.534799999999999	10.2485	29.7	177.3
102.0	20.4045	16.9853	15.8	106.0
103.0	20.387400000000003	21.7558	16.9	106.0
107.0	12.1697	13.0866	24.6	121.3
107.0	12.1113	14.0253	15.4	121.1
109.0	13.8204	13.0406	21.5	120.8
110.0	11.222100000000001	13.2187	8.9	100.3
111.0	21.622700000000002	24.866400000000002	24.5	158.1
115.0	13.129	12.0922	11.8	108.1
117.0	18.1451	26.274	12.2	100.4
121.0	23.3993	19.105	13.3	135.7
122.0	19.707900000000002	12.0358	21.5	139.4
123.0	31.705299999999998	16.394299999999998	10.2	112.9
127.0	21.9881	30.155099999999997	22.6	170.7
127.0	28.7881	2.2235	7.2	107.4
132.0	22.4407	17.3382	15.2	111.5
133.0	11.6854	13.6895	11.1	92.1
134.0	10.0276	14.1241	9.4	95.4
136.0	31.3454	13.9215	10.2	127.1
141.0	10.548399999999999	17.8783	14.1	116.5
142.0	6.8965	19.476599999999998	10.5	95.3
143.0	11.9413	15.2771	16.1	110.9
147.0	4.9289	0.8864	12.3	119.2
148.0	11.825700000000001	31.0563	10.4	112.0
149.0	11.5827	15.4945	25.3	128.9
151.0	10.2616	18.3071	15.4	121.2
151.0	9.484200000000001	17.9013	12.3	120.5
152.0	9.7898	17.821900000000003	13.9	123.9
155.0	7.5458	16.8006	8.4	111.5
159.0	6.6616	15.659600000000001	12.4	97.6
161.0	14.637799999999999	19.4013	14.8	112.2
163.0	23.4035	7.5778	8.2	106.2
164.0	13.9196	31.2858	10.7	108.3
170.0	21.8365	28.7762	11.2	122.2
178.0	25.8631	10.9683	18.4	151.1
182.0	5.1568000000000005	22.012700000000002	13.9	125.8
190.0	1.492	7.2119	18.7	138.3
190.0	15.278	18.0682	16.4	108.4
191.0	15.819700000000001	20.7378	13.6	125.2
191.0	29.2145	18.3354	11.5	110.4
193.0	22.1215	4.5352	13.2	107.5
200.0	16.1483	10.5771	13.2	113.7
201.0	30.1056	15.241700000000002	10.8	96.9
203.0	11.1669	14.1616	14.8	103.1
206.0	27.7992	20.853099999999998	12.4	107.4
209.0	11.4203	14.5065	28.0	144.7
215.0	12.1309	12.767700000000001	11.7	103.1
216.0	12.460700000000001	11.7337	23.5	136.9
216.0	4.3919	24.552400000000002	11.6	127.8
219.0	21.4986	13.818200000000001	16.2	119.6
222.0	26.4452	28.4448	8.3	107.9
222.0	11.3001	14.1074	21.1	162.5
229.0	20.174	11.9091	14.5	140.8
230.0	20.3305	11.9905	8.7	129.0
230.0	15.0997	7.587899999999999	8.9	108.0
238.0	12.9443	13.0045	23.0	130.6
240.0	21.1801	24.6859	10.5	109.8
242.0	12.026399999999999	9.8258	17.3	109.3
248.0	10.052	16.0274	18.1	125.8
251.0	0.4531	29.5162	14.6	174.0
251.0	31.6063	16.0685	7.8	125.4
259.0	3.5231999999999997	14.8976	9.3	121.3
265.0	10.582	13.8695	19.2	130.6
266.0	10.710899999999999	13.8005	11.1	115.0
273.0	4.5947	10.3265	19.0	145.0
274.0	4.7867	10.6151	13.2	126.3
275.0	18.1703	15.601600000000001	10.5	122.6
289.0	6.0248	9.003200000000001	16.1	162.4
289.0	14.27	11.5601	14.6	102.7
297.0	22.4797	4.8039	17.2	140.3
300.0	22.1124	28.9099	15.6	131.6
307.0	30.9252	18.0158	13.5	126.6
307.0	14.225299999999999	14.0395	12.6	115.0
307.0	12.075	15.1258	8.3	125.9
310.0	12.7234	27.5661	20.3	128.0
316.0	11.803600000000001	6.4772	8.7	106.7
318.0	30.6552	16.8691	15.8	142.9
336.0	9.476899999999999	22.358700000000002	13.2	124.1
365.0	5.1611	22.009400000000003	10.9	107.7
381.0	13.0373	13.585	23.9	139.6
385.0	13.838700000000001	26.2257	11.4	140.9
385.0	21.375700000000002	21.4952	8.4	99.3
388.0	22.8137	17.931	25.5	169.3
388.0	14.834200000000001	7.051	11.6	122.2
389.0	13.7569	13.2102	22.5	130.9
390.0	11.035200000000001	21.331400000000002	13.3	106.2
390.0	10.0112	26.1891	7.6	115.5
390.0	27.8261	12.697799999999999	9.6	108.1
391.0	11.8937	13.376100000000001	19.2	111.7
391.0	9.8929	12.594100000000001	9.7	109.8
392.0	21.674400000000002	29.878	15.6	146.7
393.0	30.3551	16.692	9.4	96.5
395.0	17.279	5.0658	11.0	125.4
396.0	14.8794	11.8644	22.0	125.3
396.0	5.2684	20.975	7.9	108.0
398.0	24.238599999999998	10.166	14.0	131.6
398.0	3.7087	30.7023	13.7	176.5
398.0	20.4135	5.646199999999999	7.9	94.0
401.0	6.1781999999999995	22.2145	11.3	123.1
403.0	23.574	5.1618	8.3	122.8
406.0	18.2287	25.471700000000002	20.5	181.4
406.0	12.1691	14.2187	15.4	112.1
411.0	27.0676	12.6882	15.6	115.0
411.0	11.7857	20.3014	10.9	97.4
412.0	14.9076	30.6038	14.4	128.2
415.0	30.552599999999998	9.974	9.7	135.7
416.0	9.141200000000001	24.696	10.9	97.2
420.0	21.197400000000002	24.5805	15.1	116.1
420.0	13.6645	12.0161	10.7	108.2
421.0	10.995700000000001	22.4939	9.5	122.5
425.0	4.0978	21.85	11.8	135.7
430.0	8.7401	18.7397	9.8	97.3
438.0	30.4253	10.8843	16.4	117.3
438.0	13.2899	13.9559	20.6	119.4
439.0	19.329099999999997	17.855400000000003	11.2	126.2
439.0	24.3141	8.9011	8.4	139.3
441.0	6.4305	22.7722	12.0	125.6
442.0	13.604	20.487299999999998	11.6	134.5
445.0	14.8421	11.7851	11.5	106.0
448.0	10.9982	16.425900000000002	8.7	125.6
448.0	11.4997	11.771799999999999	17.7	116.7
450.0	7.2525	28.8443	17.6	134.5
450.0	25.8495	18.31	10.4	101.4
451.0	16.9342	21.8998	11.5	104.7
451.0	23.1747	20.5042	12.4	104.1
454.0	2.5375	6.2841000000000005	16.4	131.8
456.0	11.171100000000001	7.0244	12.6	121.7
456.0	28.8044	22.7237	11.8	114.5
457.0	11.73	15.9	10.9	130.2
459.0	18.044900000000002	6.0325	19.0	121.7
459.0	10.3795	7.4626	9.1	103.5
462.0	12.1999	14.5654	24.7	128.2
467.0	11.7645	13.338899999999999	29.0	157.6
471.0	19.6308	9.4997	16.9	120.1
471.0	11.4419	14.7391	9.4	107.7
472.0	11.7054	14.588799999999999	13.6	91.9
473.0	2.9764	31.4426	15.6	140.7
474.0	29.1465	9.2935	8.3	107.4
476.0	6.5706999999999995	16.134	16.2	137.2
478.0	21.363799999999998	27.350900000000003	9.7	158.6
478.0	18.9599	26.4879	7.1	130.2
481.0	17.3543	13.8508	11.8	113.3
488.0	19.9079	6.8818	13.6	118.3
490.0	6.5472	17.803900000000002	14.2	125.8
490.0	11.9545	14.2941	11.4	112.2
495.0	25.939799999999998	20.2984	21.4	177.0
495.0	20.6862	29.0942	15.8	121.9
496.0	20.3399	24.0482	14.6	132.2
497.0	10.841899999999999	23.8588	10.6	107.0
498.0	18.1166	27.8488	9.7	148.7
500.0	12.8608	24.822	11.5	106.1
501.0	12.270100000000001	12.8943	21.6	125.0
501.0	13.0427	12.515600000000001	7.6	118.2
505.0	1.566	22.591	12.8	109.3
506.0	13.0981	8.8881	13.0	115.9
506.0	15.7041	6.9392	11.4	130.7
510.0	6.4481	30.2055	7.7	123.9
514.0	16.9656	28.4402	9.6	109.1
516.0	12.1067	8.0596	13.5	127.6
517.0	16.1833	22.5108	7.5	121.3
517.0	11.2836	16.5053	14.4	111.2
518.0	11.3926	16.3945	13.6	139.7
522.0	16.4441	26.804	24.2	170.3
524.0	12.9275	4.7945	13.0	123.9
532.0	18.7012	28.466900000000003	7.9	114.1
532.0	22.715799999999998	22.5839	16.5	188.3
534.0	14.8973	14.9572	19.4	152.5
534.0	21.5731	28.04	8.5	110.9
537.0	3.84	18.328200000000002	8.0	128.2
540.0	9.7219	26.799599999999998	9.1	94.7
540.0	11.725299999999999	15.9261	11.5	133.7
541.0	21.5364	16.5626	14.6	117.3
542.0	28.686400000000003	15.4997	12.7	98.9
